Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
BMT,Nassau Loop,Canal St,J,N,Q,R,Z,6,,,,,,FALSE,NQRZ not ADA,TRUE,Stair,YES,,NONE,Centre St,Canal St,SW,40.717823,-74.000326
BMT,Nassau Loop,Chambers St,J,Z,4,5,6,,,,,,,FALSE,JZ not ADA,TRUE,Stair,YES,,NONE,Lafayette St,Chambers St,SE,40.713449,-74.003643
BMT,Nassau Loop,Delancey St-Essex St,F,J,M,Z,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Norfolk St,Delancey St,NW,40.7184805,-73.9874155
BMT,Nassau Loop,Fulton St,A,C,J,Z,2,3,4,5,,,,FALSE,,TRUE,Easement,YES,,NONE,John St,Nassau St,SE,40.709882,-74.0079795
BMT,Sea Beach,18 Av,N,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,18th Ave,64th St,NW,40.620684,-73.99043950000001
BMT,Sea Beach,20 Av,N,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,20th Ave,64th St,NE,40.617341,-73.98484
BMT,Sea Beach,8 Av,N,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,8th Ave,62nd St,NW,40.634552,-74.010726
BMT,Sea Beach,86 St,N,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,8th St,86th St,SE,40.592724,-73.978227
BMT,Sea Beach,Avenue U,N,,,,,,,,,,,FALSE,,TRUE,Door,YES,,NONE,8th St,Avenue T,SE,40.597485500000005,-73.979139
BMT,Sea Beach,Bay Pkwy,N,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Bay Pkwy,66th St,SE,40.611780499999995,-73.9818485
BMT,Sea Beach,Fort Hamilton Pkwy,N,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Fort Hamilton Pkwy,62nd St,NE,40.631394,-74.0053625
